Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,iron,mercury,alu,hydrocarbon
D,Chuck and Eddies Used Auto Parts,Chuck and Eddies Used Auto Parts,131,Tributary Quinnipiac River ,,2157,5015,Y,Outfall Location One,2/23/12,,,N,0.7,4.74,4.66,5,6.5,0.01,0.48,0.12,0.0005,0.073,0.002,,,,,,,,,
D,Chuck and Eddies Used Auto Parts,Chuck and Eddies Used Auto Parts,131,Tributary Quinnipiac River ,,2157,5015,Y,Outfall Location One,6/25/12,,,N,,,,,,,,,,,,,,,,,5.35,0.0002,7.31,
D,Bishop's Used Auto Parts,Bishop's Used Auto Parts,80,"Sawmill Brook, Mattasbasset Regional Basin ",,2171,5015,Y,SW-1,1/12/12,1/1/12,11,N,1,6.5,7.2,5,24,0.06,0.56,0.27,0.013,0.03,0.03,100.00%,100.00%,20,57,100.00%,2.12,0.0002,1.34,25
D,Bishop's Used Auto Parts,Bishop's Used Auto Parts,80,"Sawmill Brook, Mattasbasset Regional Basin ",,2171,5015,Y,SW-1,3/28/12,3/2/12,26,N,,,,,,,,,,,,,,,,,2.7,0.0002,1.62,
D,Bishop's Used Auto Parts,Bishop's Used Auto Parts,80,"Sawmill Brook, Mattasbasset Regional Basin ",,2171,5015,Y,SW-1,7/18/12,7/15/12,3,N,1,6.8,6.8,5,18,0.025,0.22,1.23,0.019,0.015,0.015,,,,,,1.14,0.0002,0.84,25
D,CT Used Parts & Auto Wrecking ,Conn. Used Parts & Auto Wrecking ,151,"Naugatuck River, Naugatuck Regional Basin",,2249,5015,Y,SW-1,4/22/12,3/28/12,25,N,1.1,5.43,6.14,23.1,16.5,0.11,0.82,0.1,0.02,0.1,0.02,,,,,,1.23,0.0001,0.78,5
D,CT Used Parts & Auto Wrecking ,Conn. Used Parts & Auto Wrecking ,151,"Naugatuck River, Naugatuck Regional Basin",,2249,5015,Y,SW-1,7/18/12,7/15/12,3,N,,,,,,,,,,,,,,,,,15.71,0.0002,8.78,
D,Ross Auto Parts,Ross Auto Parts,17,"Pequabuck River, Farmington Regional Basin",,2284,5015,Y,SW-1,1/12/12,,,,,,,,,,,,,,,,,,,,0.557,0.0001,0.53,
D,Ross Auto Parts,Ross Auto Parts,17,"Pequabuck River, Farmington Regional Basin",,2284,5015,Y,SW-1,4/22/12,4/13/12,9,N,1.15,6.7,6.4,46,81.2,0.155,1.3,1.07,0.026,0.015,0.097,,,,,,10.8,0.0001,10.7,1.3
D,Ross Auto Parts,Ross Auto Parts,17,"Pequabuck River, Farmington Regional Basin",,2284,5015,Y,SW-1,7/18/12,7/15/12,3,N,,,,,,,,,,,,,,,,,0.288,0.0001,0.29,
D,Petrillo's Used Auto Parts,Petrillo's Used Auto Parts,93,"Quinnipiac River, Quinnipiac Regional Basin",,2368,5015,N,SW-1,5/1/12,4/23/12,9,N,1,6.5,5.8,10,11,0.025,0.34,0.13,0.013,0.035,0.015,,,,,,0.96,0.0002,0.24,25
D,Petrillo's Used Auto Parts,Petrillo's Used Auto Parts,93,"Quinnipiac River, Quinnipiac Regional Basin",,2368,5015,N,SW-1,8/15/12,8/11/12,4,N,,,,,,,,,,,,,,,,,0.19,0.0002,0.05,
D,"Coutu Auto Sales, Inc.","Coutu Auto Sales, Inc.",163,"Willimantic River, Willimantic Regional Basin ",,2475,5015,Y,SW-1,11/10/11,10/30/11,11,N,8.3,6.89,6.57,360,480,1.05,33,0.23,0.267,0.608,0.804,100.00%,100.00%,20,70,100.00%,29.5,0.0001,21.6,5
D,"Coutu Auto Sales, Inc.","Coutu Auto Sales, Inc.",163,"Willimantic River, Willimantic Regional Basin ",,2475,5015,Y,SW-1,3/31/12,3/20/12,11,N,,,,,,,,,,,,,,,,,0.808,0.0001,0.5,
D,"Coutu Auto Sales, Inc.","Coutu Auto Sales, Inc.",163,"Willimantic River, Willimantic Regional Basin ",,2475,5015,Y,SW-1,7/18/12,7/15/12,3,N,9.8,6.36,6.77,83,1600,1.48,5.05,1.05,0.399,0.914,1.1,,,,,,46,0.0001,30.5,5
D,Bill's Auto Parts,Bill's Auto Parts,142,"Skungamaug River, Willimantic Regional Basin",,2511,5015,Y,SW-1,12/7/11,11/30/11,7,N,0.75,5.02,6.93,64,120,0.04,0.37,0.35,0.084,0.365,0.115,100.00%,100.00%,22,113,100.00%,30.6,0.0001,16.5,25
D,Bill's Auto Parts,Bill's Auto Parts,142,"Skungamaug River, Willimantic Regional Basin",,2511,5015,Y,SW-1,4/22/12,4/12/12,10,N,1.4,6.43,6.17,60,1200,0.78,2.77,0.14,0.084,0.145,0.131,,,,,,22.8,0.0001,13.3,5
D,Bill's Auto Parts,Bill's Auto Parts,142,"Skungamaug River, Willimantic Regional Basin",,2511,5015,Y,SW-1,7/29/12,7/23/12,6,N,,,,,,,,,,,,,,,,,84,0.0001,48.2,
D,"George's Auto Parts, Inc.","George's Auto Parts, Inc.",15,"Pequonnock River, Southwest Eastern Regional Complex",,2516,5015,Y,SW-1,6/22/12,6/13/12,9,N,4.7,4.28,5.69,126,55,0.225,4.06,0.58,0.0916,0.345,0.118,,,,,,2.44,0.0001,1.24,2.5
D,"Mark's Auto Parts, Inc. ","Mark's Auto Parts, Inc. ",40,"Stony Brook, Stony Brook Regional Basin ",,1094,5015,N,SW-1,7/2/12,6/26/12,6,N,0.7,6.1,6.55,31,29,0.21,1.61,0.19,0.02,0.104,0.004,,,,,,0.0137,0.0001,0.837,
D,"Coutu Auto Sales, Inc.","Coutu Auto Sales, Inc.",163,"Willimantic River, Willimantic Regional Basin ",,2475,5015,Y,SW-1,9/23/12,9/9/12,14,N,,,,,,,,,,,,,,,,,15.6,0.0001,9.93,
D,Reidville Used Auto Parts,Reidville Used Auto Parts,151,"Beaverpond Brook, Naugatuck Regional Basin",,1794,5015,N,SW-1,9/28/12,9/22/12,6,N,,,,,,,,,,,,,,,,,8.26,0.0002,3.74,
D,Bishop's Used Auto Parts,Bishop's Used Auto Parts,80,"Sawmill Brook, Mattasbasset Regional Basin ",,2171,5015,Y,SW-1,9/18/12,9/9/12,9,N,,,,,,,,,,,,,,,,,0.57,0.0002,0.48,
D,Tom's Foreign Auto Parts,Tom's Foreign Auto Parts,88,"Naugatuck River, Naugatuck Regional Basin",,1126,5015,Y,SW-1,9/5/12,9/3/12,2,N,,,,,,,,,,,,,,,,,0.39,0.0001,0.3,10
D,"Tom's Used Auto Parts, LLC","Tom's Used Auto Parts, LLC",17,"Pequabuck River, Farmington Regional Basin",,1783,5015,Y,SW-1,9/28/12,9/22/12,6,N,,,,,,,,,,,,,,,,,8.01,0.0001,4.74,
D,"M&J Auto Recycling, Inc. ","M&J Auto Recycling, Inc. & M&J Bus",28,"Deep River, Yantic Regional Basin",,2079,5015,N,SW-1,9/4/12,8/29/12,6,N,,,,,,,,,,,,,,,,,1.3,0.0001,0.65,
D,Daddio's Auto Parts,Daddio's Auto Parts,124,"Naugatuck River, Naugatuck Regional Basin",,1010,5015,Y,SW-1,9/18/12,9/8/12,10,N,,,,,,,,,,,,,,,,,19.7,0.0001,9.06,
D,"Mark's Auto Parts, Inc. ","Mark's Auto Parts, Inc. ",56,"Stony Brook, Stony Brook Regional Basin ",,1094,5015,N,SW-1,10/19/11,10/15/11,4,N,1.9,7.49,7.19,170,300,0.49,2.2,0.92,0.068,0.28,0.109,100.00%,100.00%,38,97,100.00%,0.0183,0.0001,1.16,
D,"Stewart's Auto Parts, Inc.","Stewart's Auto Parts, Inc.",5,"Morgan Brook, Farmington Regional Basin ",,1058,5015,N,SW-1,9/18/12,9/8/12,10,N,2.9,6,6.61,118.5,79,0.23,1.36,0.23,0.13,0.61,0.14,,,,,,16.2,0.0002,5.36,10
D,Arite Used Auto Parts,,89,Webster Brook,CT4603-00_01,2551,5015,Y,SW-1,12/31/12,12/27/12,4,Y,1,6.2,3.9,15,4,0.025,0.13,0.018,0.005,0.043,0.015,,,,,,0.4,0.0002,0.13,250
D,Waterbury Auto Salvage,,151,Naugatuck River,,2528,5015,Y,SW-1,10/2/12,9/10/12,22,N,,,,,,,,,,,,,,,,,0.1,0.0001,0.07,
D,Waterbury Auto Salvage,,151,Naugatuck River,,2528,5015,Y,SW-1,12/4/12,11/28/12,6,N,,,,,,,,,,,,,,,,,2.33,0.0001,1.58,
D,Auto Parts Depot,Auto Parts Depot,64,CT River Tributary,4000-26-1,1169,5015,N,Outfall Location One,7/15/12,,>72 hours,N,2.5,6.21,6.5,190,96,0.05,5.6,0.64,0.11,0.32,0.083,,,,,,3.2,0.0002,1.4,10
D,"Webster's Auto Sales, Inc.","Webster's Auto Sales, Inc.",111,"Pequabuck River, Farmington Regional Basin",,1122,5015,N,SW-1,1/31/13,1/28/13,,N,,,,,,,,,,,,,,,,,2.82,0.0001,2.15,
D,"Stafford Auto Recyclers, Inc.","Stafford Auto Recyclers, Inc.",134,Unnamed Brook to Baker Brook,,2546,5015,N,SAR-1,12/10/12,12/7/21,,N,4.2,7.3,7.6,56,83,0.36,0.93,0.005,0.081,0.189,0.132,100.00%,100.00%,40,119,,8.38,0.0001,5.88,0.024
D,"Webster's Auto Sales, Inc.","Webster's Auto Sales, Inc.",111,"Pequabuck River, Farmington Regional Basin",,1122,5015,N,SW-1,4/12/13,4/9/13,,N,9.7,5.85,6.45,44.3,417,0.4,3.28,0.55,0.12,0.4,0.17,,,,,,30.4,0.0005,19.9,5
D,East Coast Auto Salvage,East Coast Auto Salvage,61,"Ponset Brook, Connecticut Main Stem Basin",,982,5015,N,SW-2,2/19/13,2/11/13,,,,,,,,,,,,,,,,,,,3.23,0.0002,2.05,
D,Boyd's Used Auto Parts,Boyd's Used Auto Parts,104,"Shetucket River, Shetucket Regional Basin",,1253,5015,N,SW-1,12/21/12,12/9/13,,Y,83,5.5,7.8,360,340,1.2,2.6,0.47,0.42,1.2,1.3,33.80%,24.40%,60,185,0.00%,,,,
D,Boyd's Used Auto Parts,Boyd's Used Auto Parts,104,"Shetucket River, Shetucket Regional Basin",,1253,5015,N,SW-2,12/21/12,12/9/13,,Y,3.35,5.5,5.9,94,320,0.74,2.4,0.29,0.068,0.36,0.15,100.00%,100.00%,8,36,100.00%,,,,
D,"Stewart's Auto Parts, Inc.","Stewart's Auto Parts, Inc.",5,"Morgan Brook, Farmington Regional Basin ",,1058,5015,N,SW-1,4/12/13,4/9/13,,N,,,,,,,,,,,,,,,,,0.1,0.0001,0.05,
D,"Terryville Auto Parts, Inc.","Terryville Auto Parts, Inc.",111,"Pequaback River, Farmington Regional Basin",,1684,5015,N,SW-2,4/12/13,4/9/13,,N,1.6,6.19,6.56,17.2,12.5,0.025,1.02,0.58,0.005,0.005,0.01,,,,,,0.39,0.0001,0.27,5
D,CT Used Parts & Auto Wrecking,CT Used Parts & Auto Wrecking,151,"Naugatuck River, Naugatuck Regional Basin",,2249,5015,Y,SW-1,3/12/13,3/8/13,,Y,,,,,,,,,,,,,,,,,6.9,,3.71,
D,"Albert's Used Auto Parts, LLc","Albert's Used Auto Parts, LLC",140,Naugatuck River & Naugatuck Regional Drainage Basin,,2523,5015,N,SW-2,3/12/13,3/8/13,,N,0.95,7.7,7.2,25,27.7,0.083,1.7,0.74,0.027,0.154,0.0402,,,,,,3.1,0.0001,1.64,
D,"Mark's Auto Parts, Inc. ","Mark's Auto Parts, Inc. ",40,"Stony Brook, Stony Brook Regional Basin ",,1094,5015,N,SW-1,12/21/12,12/9/12,,N,0.7,7.02,7.01,43,130,0.28,1.65,0.025,0.018,0.109,0.018,100.00%,100.00%,10,25,100.00%,10.6,0.0001,5.36,5
D,"South Windsor Auto Parts, Inc.","South Windsor Auto Parts, Inc.",132,"Sciantic River, Sciantic Regional Basin",,1980,5015,Y,SW-1,3/12/13,3/8/13,,N,,,,,,,,,,,,,,,,,7.82,,6.04,
D,Stewart's Auto Parts. Inc,"Stewart's Auto Parts, Inc.",5,"Morgan Brook, Farmington Regional Basin ",,1058,5015,N,SW-1,1/31/13,1/27/13,,Y,1.8,6.66,6.54,62.1,115,0.21,1.6,0.1,0.11,0.39,0.09,100.00%,100.00%,13,44.3,100.00%,10.4,0.0001,3.62,5
D,Bill's Auto Parts,Bill's Auto Parts,142,"Skungamaug River, Willimantic Regional Basin",,2511,5015,Y,SW-1,3/12/13,3/8/13,,Y,,,,,,,,,,,,,,,,,9.82,,5.79,
D,Yales Auto Salvage ,Yales Auto Salvage,86,,,1162,5015,,Outfall 1,2/27/13,,,Y,0.7,6.64,6.62,19,74,0.1,0.32,0.05,0.017,0.05,0.069,100.00%,100.00%,10,40,100.00%,3.28,0.0001,2.52,
D,Bishop's Used Auto Parts,Bishop's Used Auto Parts,80,"Sawmill Brook, Mattasbasset Regional Basin ",,2171,5015,Y,SW-1,3/12/13,3/8/13,4,N,,,,,,,,,,,,,,,,,2.57,,1.84,
D,Seymour Auto Wrecking,107 New Haven Rd,124,Bladens Brook,,2518,5015,N,Loading Dock,3/12/13,3/8/13,,N,9.8,6.5,6.6,156,230,0.55,1.4,0.11,0.101,0.325,0.116,100.00%,100.00%,10,72,100.00%,22.3,0.0001,14.3,nd
